dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
msong,Dim     ,994185,1000,420,997,30,62,0,0,4,4,1,1,59.17203045,0.0093500018119812,1.0657817187499998,0.630598966
msong,Dim     ,994185,1000,420,997,40,62,0,0,4,4,1,1,73.825655,0.0054500102996826,1.114386091,0.822621335
msong,Dim     ,994185,1000,420,997,50,62,0,0,4,4,1,1,81.359842275,0.0038099884986877,1.25014428475,1.017111518
msong,Dim     ,994185,1000,420,997,70,62,0,0,4,4,1,1,97.623645775,0.0023999810218811,1.38897658425,1.355838935
msong,Dim     ,994185,1000,420,997,100,62,0,0,4,4,1,1,114.8529148,0.0014600157737732,1.640329073,1.883733245
msong,Dim     ,994185,1000,420,997,200,62,0,0,4,4,1,1,158.8241501,0.0009099841117859,2.304399286,3.659680114
msong,Dim     ,994185,1000,420,997,300,62,0,0,4,4,1,1,186.34735869999997,0.0008299946784973,3.04620157625,5.676457862
msong,Dim     ,994185,1000,420,997,400,62,0,0,4,4,1,1,239.516189575,0.000819981098175,3.6029512085,8.629478194
msong,Dim     ,994185,1000,420,997,500,62,0,0,4,4,1,1,282.331123325,0.000819981098175,4.083453833,11.52875542
msong,Dim     ,994185,1000,420,997,997,62,1,1,4,4,1,1,316.7973328,0.0008100271224976,4.509092467,14.284684785
msong,Dim     ,994185,1000,420,997,997,62,1,0,4,4,1,1,261.9631042,0.0008000135421753,5.452937566,14.284684785
msong,Dim     ,994185,1000,420,997,997,62,0,0,4,4,1,1,259.823585525,0.0008000135421753,5.497997041750001,14.284684785


dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,cut,block,worker,group,team,average_time_speedup,average_recall,average_query_time,average_original_time
sift1m,Baseline,1000000,10000,128,1000,1,113,1,0,0,8,8,1,51.989872,0.7063870131969452,0.098571938,0.051247426
sift1m,Baseline,1000000,10000,128,1000,3,113,1,0,0,8,8,1,127.0127487,0.4574790000915527,0.103235523,0.131122273
sift1m,Baseline,1000000,10000,128,1000,5,113,1,0,0,8,8,1,189.6921844,0.337024986743927,0.111262197,0.211055696
sift1m,Baseline,1000000,10000,128,1000,10,113,1,0,0,8,8,1,296.4075623,0.1914020180702209,0.136477674,0.404530165
