dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.0000000000000000,507.9888,0.1726260185241699,8.448378233,42.916816433,99.80493975750899
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.1000000014901161,525.3127441,0.1693559885025024,8.169764597,42.916816433,1004.8681993177015
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.2000000029802322,512.8370972,0.1706590056419373,8.368508335,42.916816433,2002.4496937501326
sift1mHard,Group   ,1000000,10000,128,1000,1000,184,1,1,1,4,4,2,2,0.3000000119209290,600.2443237,0.1742609739303589,7.149891235,42.916816433,3001.714409466697
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.4000000059604645,524.5275269,0.1812120079994202,8.181994879,42.916816433,4001.2132779945637
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.5000000000000000,524.0838623,0.1843299865722656,8.188921519,42.916816433,5001.110163553689
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.6000000238418579,522.5184937,0.1967030167579651,8.213453595,42.916816433,6000.835836614762
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.6999999880790710,583.2595215,0.2071020007133484,7.358099286,42.916816433,7000.709714450385
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.8000000119209290,598.1257935,0.2199689745903015,7.175216119,42.916816433,8000.608529105771
sift1mHard,Group   ,1000000,10000,128,1000,1000,232,1,1,1,4,4,2,2,0.8999999761581421,552.5559082,0.2291229963302612,7.766963394,42.916816433,9000.557085647531
sift1mHard,Group   ,1000000,10000,128,1000,1000,184,1,1,1,4,4,2,2,1.0000000000000000,592.6699219,0.2462670207023621,7.241268039,42.916816433,10000.493044745344

sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.0000000000000000,500.821106,0.1675620079040527,8.569290475,42.916816433,101.1070620678892
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.1000000014901161,476.8705139,0.1719369888305664,8.999678941,42.916816433,1005.0822523554975
sift1mHard,Baseline,1000000,10000,128,1000,1000,184,1,1,0,0,4,4,1,0.2000000029802322,483.7346802,0.1706699728965759,8.871974036,42.916816433,2002.3125170662047
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.3000000119209290,422.7419434,0.1747829914093018,10.152013074,42.916816433,3001.648992470639
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.4000000059604645,388.9139709,0.1787170171737671,11.035041188,42.916816433,4001.1956735455965
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.5000000000000000,393.3657532,0.1859089732170105,10.910156144,42.916816433,5000.956648282407
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.6000000238418579,395.4127197,0.1968740224838257,10.853675986,42.916816433,6000.838353930224
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.6999999880790710,340.0710754,0.2048029899597168,12.619955059,42.916816433,7000.67663972562
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.8000000119209290,343.6373596,0.2175019979476929,12.488984433,42.916816433,8000.639131469436
sift1mHard,Baseline,1000000,10000,128,1000,1000,232,1,1,0,0,4,4,1,0.8999999761581421,324.5273438,0.2311679720878601,13.22440654,42.916816433,9000.535048873484
sift1mHard,Baseline,1000000,10000,128,1000,1000,184,1,1,0,0,4,4,1,1.0000000000000000,317.2409668,0.2459210157394409,13.528144826,42.916816433,10000.52877142004

sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.0000000000000000,362.7286072,0.1693099737167358,11.831660629,42.916816433,100.54240896258653
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.1000000014901161,379.5699768,0.1688269972801208,11.306694467,42.916816433,1004.9055557613362
sift1mHard,Dim     ,1000000,10000,128,1000,1000,184,0,0,0,8,4,1,1,0.2000000029802322,372.4340515,0.1684949994087219,11.523332937,42.916816433,2002.419480528493
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.3000000119209290,366.8072205,0.1797990202903748,11.700101034,42.916816433,3001.641720125838
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.4000000059604645,373.9543457,0.1780509948730469,11.476485133,42.916816433,4001.0998205493447
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.5000000000000000,372.8656921,0.193198025226593,11.509993677,42.916816433,5001.007025589946
sift1mHard,Dim     ,1000000,10000,128,1000,1000,184,0,0,0,8,4,1,1,0.6000000238418579,374.9628296,0.2030450105667114,11.445619169,42.916816433,6000.774698653499
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.6999999880790710,368.0051575,0.2120829820632935,11.662014989,42.916816433,7000.687267261694
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.8000000119209290,380.1957703,0.2200310230255127,11.288083208,42.916816433,8000.566001602637
sift1mHard,Dim     ,1000000,10000,128,1000,1000,232,0,0,0,8,4,1,1,0.8999999761581421,378.3166199,0.2317109704017639,11.3441534,42.916816433,9000.543697132967
sift1mHard,Dim     ,1000000,10000,128,1000,1000,184,0,0,0,8,4,1,1,1.0000000000000000,363.5668335,0.2476080060005188,11.804381371,42.916816433,10000.499056147148


dataset,mode,nb,nq,d,nlist,nprobe,divideIVF,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,average_time_speedup,average_recall,average_query_time,average_original_time,average_variance
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.0000000000000000,386.9941101,0.2307299971580505,1.783185913,6.900824627,31.19101025743028
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.1000000014901161,376.1844788,0.2350800037384033,1.8344257,6.900824627,103.47968780174101
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.2000000029802322,319.9059143,0.261210024356842,2.157141878,6.900824627,203.96086136078404
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.3000000119209290,303.0513916,0.2879499793052673,2.27711357,6.900824627,301.92793211373504
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.4000000059604645,276.0868225,0.3019999861717224,2.499512588,6.900824627,400.45860614812017
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.5000000000000000,281.1302795,0.3371999859809875,2.454671474,6.900824627,502.8574084768696
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.6000000238418579,262.8450317,0.358269989490509,2.625434668,6.900824627,601.5598238011924
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.6999999880790710,225.1791382,0.3973399996757507,3.064593331,6.900824627,700.3587019201742
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.8000000119209290,231.9911804,0.4117199778556824,2.97460643,6.900824627,799.1534016324147
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,0.8999999761581421,223.6738586,0.4447299838066101,3.085217386,6.900824627,901.6026958951605
glove1.2mHard,Baseline,1193514,1000,200,1092,1092,232,1,1,0,0,4,4,1,1.0000000000000000,203.9294281,0.4831600189208984,3.383927927,6.900824627,1000.554926614307

glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.0000000000000000,342.2311401,0.2236599922180176,2.01642214,6.900824627,32.30086924288809
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.1000000014901161,343.5341187,0.2336699962615967,2.008774124,6.900824627,104.21304608521417
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.2000000029802322,357.2481995,0.2587400078773499,1.931661097,6.900824627,203.85560590429702
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.3000000119209290,316.6813354,0.2769399881362915,2.179106735,6.900824627,301.87833526775205
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.4000000059604645,347.8147888,0.3036100268363953,1.984051495,6.900824627,400.5445057654656
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.5000000000000000,320.7904968,0.3183599710464478,2.151193585,6.900824627,502.79866017521636
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.6000000238418579,324.7181396,0.3558200001716614,2.125173807,6.900824627,601.5797426885207
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.6999999880790710,313.7340698,0.3884699940681458,2.199577766,6.900824627,700.2722586706803
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.8000000119209290,317.4165955,0.4118000268936157,2.174059226,6.900824627,799.1766550690317
glove1.2mHard,Group   ,1193514,1000,200,1092,1092,232,1,1,1,2,4,2,2,0.8999999761581421,316.9146729,0.4562299847602844,2.17750237,6.900824627,901.6398582948372
