dataset,mode,nb,nq,d,nlist,nprobe,k,orderOptimize,UnblockSend,cut,block,worker,group,team,ratio,teamRatio,brute_ratio,average_time_speedup,1-average_recall,1-average_recall_loose,average_query_time,average_original_time,average_variance
sift1m,Group   ,1000000,10000,128,1000,300,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,382.091095,0.0001260042190552,1.19805335999e-05,2.834957545,10.832120042,1134.9491477594931
sift1m,Group   ,1000000,10000,128,1000,400,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,415.5675964,0.0001140236854553,0.0,3.464811457,14.398633986,1063.5498455643722
sift1m,Group   ,1000000,10000,128,1000,500,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,371.0195923,0.0001140236854553,0.0,4.801392643,17.814107624,743.6533654869048
sift1m,Group   ,1000000,10000,128,1000,1000,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,498.81023153333336,0.0001140236854553,0.0,7.901145198333334,39.119400352,0.0

sift1m,Dim     ,1000000,10000,128,1000,1,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,6.3760195,0.7065010070800781,0.7064569890499115,0.798402596,0.050906304,4.495330911067615
sift1m,Dim     ,1000000,10000,128,1000,3,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,12.0338745,0.4572659730911255,0.4571580290794373,1.080423867,0.13001685,11.988494484296183
sift1m,Dim     ,1000000,10000,128,1000,5,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,23.5963898,0.337028980255127,0.3369020223617554,0.884557038,0.20872352,19.791008059217198
sift1m,Dim     ,1000000,10000,128,1000,10,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,39.6367188,0.191569983959198,0.1914119720458984,1.017080346,0.403137258,40.18636584713776
sift1m,Dim     ,1000000,10000,128,1000,20,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,65.4247894,0.0854970216751099,0.0853170156478882,1.191994317,0.7798598,82.97352589832494
sift1m,Dim     ,1000000,10000,128,1000,30,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,79.8326721,0.0459840297698975,0.0458059906959534,1.442956868,1.151950972,128.14179646001534
sift1m,Dim     ,1000000,10000,128,1000,40,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,94.5949478,0.0271779894828796,0.0270079970359802,1.618600592,1.531114354,174.15486211989605
sift1m,Dim     ,1000000,10000,128,1000,50,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,101.3047333,0.0169969797134399,0.0168290138244629,1.878733705,1.903246106,219.61703030502895
sift1m,Dim     ,1000000,10000,128,1000,70,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,116.5149841,0.007390022277832,0.0072410106658936,2.257356673,2.630158735,310.5139352750533
sift1m,Dim     ,1000000,10000,128,1000,100,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,144.8446503,0.0025339722633362,0.0024030208587646,2.570346606,3.723009464,446.6415206852135
sift1m,Dim     ,1000000,10000,128,1000,200,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,154.8936768,0.0002210140228271,0.0001050233840942,4.715127201,7.303433799,865.081509454456
sift1m,Dim     ,1000000,10000,128,1000,300,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,165.2632446,0.0001270174980164,1.19805335999e-05,6.554464032,10.832120042,1134.9491477594931
sift1m,Dim     ,1000000,10000,128,1000,400,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,168.590683,0.0001149773597717,0.0,8.540587025,14.398633986,1063.5498455643722
sift1m,Dim     ,1000000,10000,128,1000,500,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,192.7872925,0.0001149773597717,0.0,9.240291714,17.814107624,743.6533654869048
sift1m,Dim     ,1000000,10000,128,1000,1000,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,238.32830303333333,0.0001149773597717,0.0,16.626393566333334,39.119400352,0.0

StarLightCurves,Group   ,823600,1000,1024,907,907,100,1,1,1,4,4,2,2,0.0000000000000000,0.0000000000000000,1.0000000000000000,593.2930298,0.0,0.0,5.838017776,34.636550797,0.0

StarLightCurves,Baseline,823600,1000,1024,907,907,100,1,1,0,0,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,527.4966431,0.0,0.0,6.56621237,34.636550797,0.0

StarLightCurves,Dim     ,823600,1000,1024,907,907,100,0,0,0,8,4,1,1,0.0000000000000000,0.0000000000000000,1.0000000000000000,300.5925293,0.0,0.0,11.522758917,34.636550797,0.0

